dataset,backbone,method,split_count,unit,P_mean,P_std,P_mean_defined_only,P_defined_splits,W_mean,W_std,W_mean_defined_only,W_defined_splits,balanced_mean,balanced_std,balanced_mean_defined_only,balanced_defined_splits,macro_mean,macro_std,macro_mean_defined_only,macro_defined_splits,worst_mean,worst_std,worst_mean_defined_only,worst_defined_splits,PLCC_mean,PLCC_std,PLCC_mean_defined_only,PLCC_defined_splits,RMSE_mean,RMSE_std,RMSE_mean_defined_only,RMSE_defined_splits,centered_PLCC_mean,centered_PLCC_std,centered_PLCC_mean_defined_only,centered_PLCC_defined_splits
AGIQA-3K,ViT-B-32,ridge_fixed,5,overlapping_split_sensitivity,0.8496514339273222,0.014089669709897832,0.8496514339273222,5,0.5691597458908074,0.040021001088791,0.5691597458908074,5,0.7094055899090648,0.026490131942141705,0.7094055899090648,5,0.5283173317399659,0.03638796991571575,0.5283173317399659,5,0.25935477563704945,0.10022405645319916,0.25935477563704945,5,0.8844524807621372,0.010728447498203066,0.8844524807621372,5,0.5541527060978588,0.017654260729874915,0.5541527060978588,5,0.6681701078104278,0.02987085122988247,0.6681701078104278,5
AGIQA-3K,ViT-B-32,cc_alpha10,5,overlapping_split_sensitivity,0.8706275534777967,0.011414372482138066,0.8706275534777967,5,0.6462470698608098,0.041542748097065284,0.6462470698608098,5,0.7584373116693033,0.02590865992936578,0.7584373116693033,5,0.5997592476198902,0.033352360085401066,0.5997592476198902,5,0.3367902389496559,0.10336767557797212,0.3367902389496559,5,0.8855868711600398,0.006994730038430027,0.8855868711600398,5,0.5492694515111707,0.009294556408734268,0.5492694515111707,5,0.7404404233951588,0.028703164970387933,0.7404404233951588,5
AGIQA-3K,ViT-B-32,ridge_tuned15,5,overlapping_split_sensitivity,0.8743935403295332,0.014502592659827923,0.8743935403295332,5,0.6292214159022615,0.04491190004100859,0.6292214159022615,5,0.7518074781158974,0.02941431906215503,0.7518074781158974,5,0.5742528403947357,0.03666150108509784,0.5742528403947357,5,0.3004767650136911,0.09817283892514926,0.3004767650136911,5,0.9028864275861226,0.009513322352103438,0.9028864275861226,5,0.46005671799719305,0.019807125458119336,0.46005671799719305,5,0.7258077568336444,0.030008775286866667,0.7258077568336444,5
AGIQA-3K,ViT-B-32,cc_joint,5,overlapping_split_sensitivity,0.8665571987186986,0.014330168670536316,0.8665571987186986,5,0.6441559377686358,0.03959407817601404,0.6441559377686358,5,0.7553565682436671,0.02657767291903859,0.7553565682436671,5,0.5999670256310626,0.026692636409984427,0.5999670256310626,5,0.3384267810359388,0.08411893757697553,0.3384267810359388,5,0.8792930273960442,0.01369675186573939,0.8792930273960442,5,0.5819562881777827,0.07093467012898294,0.5819562881777827,5,0.7374635666857343,0.026901654316835267,0.7374635666857343,5
AGIQA-3K,ViT-B-32,ridge_matched,5,overlapping_split_sensitivity,0.8734757697297961,0.014968884920407332,0.8734757697297961,5,0.6274139187278388,0.04707839946053148,0.6274139187278388,5,0.7504448442288174,0.030734398357347356,0.7504448442288174,5,0.569997442771528,0.03963973206419926,0.569997442771528,5,0.29442797133762005,0.10077491529924902,0.29442797133762005,5,0.9017667420816442,0.010288001263574273,0.9017667420816442,5,0.46299239361392736,0.02065735520771275,0.46299239361392736,5,0.723546624158129,0.032082472214067674,0.723546624158129,5
AGIQA-3K,ViT-B-32,sample_joint,5,overlapping_split_sensitivity,0.867916543854761,0.012973133500029186,0.867916543854761,5,0.6445014441271546,0.04089424845308881,0.6445014441271546,5,0.7562089939909578,0.025786502466380642,0.7562089939909578,5,0.5943918853829399,0.027151688581256998,0.5943918853829399,5,0.3432207852998824,0.08416626820257653,0.3432207852998824,5,0.8812766815530931,0.01570181026238481,0.8812766815530931,5,0.5700540216127161,0.08980952921102216,0.5700540216127161,5,0.7375413247514923,0.025805857149527243,0.7375413247514923,5
AGIQA-3K,ViT-B-32,uncentered_joint,5,overlapping_split_sensitivity,0.8722095884072285,0.012873365800321593,0.8722095884072285,5,0.6247237402982403,0.037818566887461665,0.6247237402982403,5,0.7484666643527345,0.025047260202490075,0.7484666643527345,5,0.5743330455650255,0.030488323715028944,0.5743330455650255,5,0.29554511731075256,0.1032233680589286,0.29554511731075256,5,0.9019953115015653,0.008709092221372328,0.9019953115015653,5,0.4629875993625362,0.01646266224047045,0.4629875993625362,5,0.7221556986998192,0.028375931581978008,0.7221556986998192,5
AGIQA-3K,ViT-B-32,sample_at_cc,5,overlapping_split_sensitivity,0.8672127759259298,0.012521040105832723,0.8672127759259298,5,0.6474228355520365,0.03731101054943942,0.6474228355520365,5,0.7573178057389832,0.024472600710131243,0.7573178057389832,5,0.5982887761890894,0.02604327164460812,0.5982887761890894,5,0.339892015102867,0.08898649462042074,0.339892015102867,5,0.8782641461083008,0.013697525175916497,0.8782641461083008,5,0.5756323739191518,0.0667183357906181,0.5756323739191518,5,0.7405574222625417,0.023454226019488388,0.7405574222625417,5
AGIQA-3K,ViT-B-32,uncentered_at_cc,5,overlapping_split_sensitivity,0.8691062606941415,0.01758983728561637,0.8691062606941415,5,0.6154511740459184,0.05039869087507413,0.6154511740459184,5,0.74227871737003,0.03365979613283362,0.74227871737003,5,0.5668048085638373,0.043708769573393,0.5668048085638373,5,0.28832585969936986,0.11072299013078472,0.28832585969936986,5,0.9002310587289013,0.011166765765571214,0.9002310587289013,5,0.4687642041381076,0.026202189643120724,0.4687642041381076,5,0.7137473182739446,0.0376356969943849,0.7137473182739446,5
AGIQA-3K,ViT-B-32,centered_only_at_cc,5,overlapping_split_sensitivity,0.852044984137347,0.012378046763753793,0.852044984137347,5,0.6455444278679738,0.03882362662993621,0.6455444278679738,5,0.7487947060026604,0.024661847780924194,0.7487947060026604,5,0.604475001173074,0.027351450725507657,0.604475001173074,5,0.3459146979616068,0.08370877035076654,0.3459146979616068,5,0.8554482602651461,0.007879943499601645,0.8554482602651461,5,0.6635948793831898,0.055421227745097015,0.6635948793831898,5,0.7379565865271491,0.025290974574467356,0.7379565865271491,5
AGIQA-3K-full,RN50,ridge_fixed,5,overlapping_split_sensitivity,0.8142385046665941,0.010199220666588741,0.8142385046665941,5,0.536997894694822,0.04308790002218712,0.536997894694822,5,0.6756181996807081,0.026379496501255255,0.6756181996807081,5,0.5549147383603217,0.03728344204530235,0.5549147383603217,5,0.35323202853336183,0.09594142616493619,0.35323202853336183,5,0.8765527425181977,0.008760464052235522,0.8765527425181977,5,0.5166027811873235,0.004987051223440858,0.5166027811873235,5,0.7179153031203503,0.02454425572058926,0.7179153031203503,5
AGIQA-3K-full,RN50,cc_alpha10,5,overlapping_split_sensitivity,0.8332796530489237,0.013945298233034562,0.8332796530489237,5,0.5945511067669506,0.045818413889294696,0.5945511067669506,5,0.7139153799079372,0.029214764971381296,0.7139153799079372,5,0.6022202984067128,0.03873097297595258,0.6022202984067128,5,0.37224594172230274,0.08988969173206868,0.37224594172230274,5,0.8766833069205656,0.010892456374225243,0.8766833069205656,5,0.5187383763140374,0.011468807706847984,0.5187383763140374,5,0.757585832338856,0.032396813844247044,0.757585832338856,5
AGIQA-3K-full,RN50,ridge_tuned15,5,overlapping_split_sensitivity,0.8479697694841217,0.009379914215642875,0.8479697694841217,5,0.6190786651390673,0.03523136403742436,0.6190786651390673,5,0.7335242173115945,0.022137889251177455,0.7335242173115945,5,0.5913767864584705,0.03632930131336694,0.5913767864584705,5,0.3418514526105639,0.11136845369962918,0.3418514526105639,5,0.8964439856876147,0.006708042117448235,0.8964439856876147,5,0.44657052295085514,0.007566844859658669,0.44657052295085514,5,0.7591147020617758,0.02170281452449716,0.7591147020617758,5
AGIQA-3K-full,RN50,cc_joint,5,overlapping_split_sensitivity,0.8422070950797741,0.009573738559111757,0.8422070950797741,5,0.6121352621679269,0.041170765605227096,0.6121352621679269,5,0.7271711786238505,0.025186421544233072,0.7271711786238505,5,0.6020765710400713,0.03177757491064595,0.6020765710400713,5,0.3594474556897995,0.10754178719141876,0.3594474556897995,5,0.8858449392508728,0.01085684424771553,0.8858449392508728,5,0.49090179481790647,0.05313714400562753,0.49090179481790647,5,0.7617050652362304,0.025371290952981188,0.7617050652362304,5
AGIQA-3K-full,RN50,ridge_matched,5,overlapping_split_sensitivity,0.8477799783258421,0.008985040619907356,0.8477799783258421,5,0.6194791996871466,0.03473007442991022,0.6194791996871466,5,0.7336295890064942,0.02172599155801638,0.7336295890064942,5,0.5868507196324697,0.03423454730500875,0.5868507196324697,5,0.33800509788570177,0.10253605468389203,0.33800509788570177,5,0.89585865888354,0.006386450191462463,0.89585865888354,5,0.4476858745644391,0.006239388596622835,0.4476858745644391,5,0.7578919088169587,0.020434203451428476,0.7578919088169587,5
AGIQA-3K-full,RN50,sample_joint,5,overlapping_split_sensitivity,0.8468878198374836,0.008950678361941033,0.8468878198374836,5,0.6327411895456262,0.03638627096901449,0.6327411895456262,5,0.739814504691555,0.022396743043225063,0.739814504691555,5,0.6121342506569166,0.03139029069204711,0.6121342506569166,5,0.3671394465037997,0.106961075122972,0.3671394465037997,5,0.8844721284396917,0.011861180566606547,0.8844721284396917,5,0.4937465360109881,0.05120358251201832,0.4937465360109881,5,0.7708993908696347,0.02356729370175193,0.7708993908696347,5
AGIQA-3K-full,RN50,uncentered_joint,5,overlapping_split_sensitivity,0.8460792447021166,0.009301264459339697,0.8460792447021166,5,0.6124895208195763,0.035049011044170485,0.6124895208195763,5,0.7292843827608465,0.021979504162997994,0.7292843827608465,5,0.5908077565738863,0.03283944482961234,0.5908077565738863,5,0.3525695168884479,0.10327854167055947,0.3525695168884479,5,0.8953923717288237,0.006753866687754908,0.8953923717288237,5,0.4488336431251819,0.007067436584735441,0.4488336431251819,5,0.7564747115700781,0.02106534069222608,0.7564747115700781,5
