key,dataset,seed,backbone,regime,family,delta,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,heldout
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,uncentered_joint,0.01,3.0,1.0,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.5490428084905288,0.5693278877098086,0.5490428084905289,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,cc_joint,0.02,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,ridge_matched,0.02,0.297029702970297,0.0,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.5727508558313302,0.5490141167152577,0.5727508558313301,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,sample_joint,0.02,30.0,30.0,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.6046277478169071,0.540353654997898,0.6046277478169071,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,uncentered_joint,0.02,3.0,1.0,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.5490428084905288,0.5693278877098086,0.5490428084905289,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,cc_joint,0.05,10.0,10.0,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.5265045881681485,0.6014377386714278,0.5393258505148308,0.601437738671428,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,ridge_matched,0.05,0.297029702970297,0.0,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.4968988932658419,0.5727508558313302,0.5490141167152577,0.5727508558313301,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,sample_joint,0.05,30.0,30.0,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.5401162209382567,0.6046277478169071,0.540353654997898,0.6046277478169071,DALLE2
agiqa3k__rn50__split42__logo_DALLE2,AGIQA-3K,42,RN50,logo,uncentered_joint,0.05,3.0,1.0,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.4671696977914815,0.5490428084905288,0.5693278877098086,0.5490428084905289,DALLE2
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,cc_joint,0.0,3.0,1.0,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7533590147216918,0.6700507083424935,0.7533590147216918,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,ridge_matched,0.0,0.7692307692307692,0.0,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7426660690604497,0.5950856444685536,0.7426660690604499,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,sample_joint,0.0,10.0,10.0,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7552813231770217,0.7592528470052793,0.7323461896535152,0.7592528470052793,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,uncentered_joint,0.0,1.0,0.03,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7410454955585521,0.7428682021155664,0.6098390848807782,0.7428682021155663,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,cc_joint,0.005,3.0,1.0,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7497147723494374,0.7533590147216918,0.6700507083424935,0.7533590147216918,glide
agiqa3k__rn50__split42__logo_glide,AGIQA-3K,42,RN50,logo,ridge_matched,0.005,0.7692307692307692,0.0,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7412139432222237,0.7426660690604497,0.5950856444685536,0.7426660690604499,glide
