key,dataset,seed,backbone,regime,family,candidate_index,alpha,lambda,P,W,balanced,macro,worst,PLCC,RMSE,centered_PLCC,selected,validation_only,config_sha256,heldout
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,29,10.0,0.1,0.8392186968072967,0.5189973105082999,0.6791080036577983,0.5043932649915149,0.20307692307692307,0.8953661530014242,0.539652163050259,0.6383353827884419,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,30,10.0,0.3,0.8424693810570443,0.5293611433388001,0.6859152621979222,0.5110164812757774,0.20076923076923076,0.8969469960310117,0.5375500657797905,0.6472759655899484,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,31,10.0,1.0,0.8498887774140366,0.5470126183363305,0.6984506978751835,0.535189466737242,0.24923076923076923,0.8998118118802283,0.534344456472915,0.6668113750221996,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,32,10.0,3.0,0.8587228023057822,0.5869664756440185,0.7228446389749004,0.5675464990293136,0.27615384615384614,0.9008392668071576,0.535962149004257,0.688065302185617,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,33,10.0,10.0,0.8598504047610206,0.6143592210758707,0.7371048129184457,0.6016515519339031,0.34692307692307695,0.8952255370491885,0.5510776941219596,0.7001437638853436,True,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,34,10.0,30.0,0.8517088872357242,0.5957922131427837,0.723750550189254,0.5800252624500825,0.33076923076923076,0.8833869768215127,0.5742179631835794,0.6966656983672951,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,35,10.0,100.0,0.8398963972728187,0.5781407381452534,0.709018567709036,0.5536331805754704,0.2630769230769231,0.8675618968756816,0.5982414829183309,0.6812054591022815,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,36,30.0,0.0,0.8155663810643891,0.46549356575437484,0.6405299734093819,0.44980260569745933,0.16384615384615384,0.8787103411758137,0.6759391547020528,0.5790847788971862,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,37,30.0,0.03,0.8158716310219687,0.46908245486175654,0.6424770429418626,0.4527577586526123,0.16384615384615384,0.8792603664856854,0.6750396260396094,0.5816573167094501,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,38,30.0,0.1,0.8178443658224462,0.4688993482746452,0.6433718570485457,0.4555676435211548,0.16538461538461538,0.8804427291161097,0.6730339133533271,0.5872833411618404,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,39,30.0,0.3,0.8218046423243286,0.4844267868616844,0.6531157145930064,0.4710869392306325,0.17153846153846153,0.883180228937401,0.6679244141677743,0.6009223893796327,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,40,30.0,1.0,0.8303311392737366,0.5008697583842802,0.6656004488290084,0.48710615240735416,0.17692307692307693,0.8883979478235676,0.6549108059054044,0.6312062527067483,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,41,30.0,3.0,0.8454968228005023,0.5521396027754472,0.6988182127879747,0.5352983613927967,0.2553846153846154,0.8917598140270359,0.635721381844585,0.665430630168474,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,42,30.0,10.0,0.8533615651776947,0.5895665891809991,0.7214640771793469,0.5795314452313661,0.3171171171171171,0.8896281047509278,0.6149929892907019,0.6920378984840654,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
agiqa3k__rn50__split42,AGIQA-3K,42,RN50,core,cc_joint,43,30.0,30.0,0.8544937236024491,0.607144821543685,0.7308192725730671,0.5969015716274767,0.34384615384615386,0.8832575417090063,0.6052934951527383,0.7009817284334142,False,True,f8148c801d726bff2c867d84f11052caa0bb2eaddbe4d7d38ee57cc353706885,
